Geminocystis_herdmanii_PCC_6308	Geminocystis_herdmanii
Genlisea_aurea	Genlisea_aurea
Gephyrocapsa_oceanica	Gephyrocapsa_oceanica
Glenodinium_foliaceum	Glenodinium_foliaceum
Gloeobacter_violaceus_PCC_7421	Gloeobacter_violaceus_PCC_7421
Gloeocapsa_sp._PCC_73106	Gloeocapsa_sp._PCC_73106
Gloeocapsa_sp._PCC_7428	Gloeocapsa_sp._PCC_7428
Glycine_soja	Glycine_soja
Gossypium_arboreum	Gossypium_arboreum
Gossypium_raimondii	Gossypium_raimondii
Guillardia_theta_CCMP2712	Guillardia_theta_CCMP2712
Gymnochlora_stellata	Gymnochlora
Gymnodinium_catenatum	Gymnodinium_catenatum
Halobacteriaceae_archaeon_'tarim_15'	Halobacteriaceae_archaeon
Halothece_sp._PCC_7418	Halothece_sp._PCC_7418
Hanusia_phi	Hanusia_phi
Hassallia_byssoidea	Hassallia_byssoidea
Hemiselmis_andersenii	Hemiselmis_andersenii
Heterocapsa_rotundata	Heterocapsa_rotundata
Heterosigma_akashiwo	Heterosigma_akashiwo
Hordeum_vulgare	Hordeum_vulgare
Imantonia_sp._RCC918	Imantonia
Isochrysis_galbana	Isochrysis_galbana
Jatropha_curcas	Jatropha_curcas
Karenia_brevis	Karenia_brevis
Karlodinium_veneficum	Karlodinium_micrum
Leptocylindrus_danicus	Leptocylindrus_danicus_var._danicus
Leptocylindrus_danicus_var._danicus_var._apora	Leptocylindrus_danicus_var._apora
Leptolyngbya_boryana	Leptolyngbya_boryana
Leptolyngbya_sp._Heron_Island_J	Leptolyngbya_sp._Heron_Island_J
Leptolyngbya_sp._PCC_7375	Leptolyngbya_sp._PCC_7375
Limnoraphis_robusta	Limnoraphis_robusta
Lingulodinium_polyedrum	Lingulodinium_polyedra
Loktanella_vestfoldensis	Loktanella_vestfoldensis
Lotharella_globosa	Lotharella_globosa
Lyngbya_aestuarii	Lyngbya_aestuarii
Lyngbya_confervoides_BDU141951	Lyngbya_confervoides_BDU141951
Lyngbya_sp._PCC_8106	Lyngbya_sp._PCC_8106
Mallomonas_sp.	Mallomonas
Malus_domestica	Malus_domestica
Marchantia_polymorpha	Marchantia_polymorpha
Mastigocladopsis_repens_PCC_10914	Mastigocladopsis_repens_PCC_10914
Mastigocladus_laminosus	Mastigocladus_laminosus
Medicago_truncatula	Medicago_truncatula
Microchaete_sp._PCC_7126	Microchaete_sp._PCC_7126
Microcoleus_sp._PCC_7113	Microcoleus_sp._PCC_7113
Microcoleus_vaginatus_FGP-2	Microcoleus_vaginatus_FGP-2
Microcystis_aeruginosa	Microcystis_aeruginosa
Microcystis_sp._T1-4	Microcystis_sp._T1-4
Micromonas_pusilla_CCMP1545	Micromonas_pusilla_CCMP1545
Monoraphidium_neglectum	Monoraphidium_neglectum
Moorea_producens_3L	Moorea_producens_3L
Morus_notabilis	Morus_notabilis
Musa_acuminata	Musa_acuminata__
Musa_acuminata___subsp._malaccensis	Musa_acuminata_subsp._malaccensis
Myxosarcina_sp._GI1	Myxosarcina_sp._GI1
Nannochloropsis_gaditana	Nannochloropsis_gaditana
Nelumbo_nucifera	Nelumbo_nucifera
Neosynechococcus_sphagnicola	Neosynechococcus_sphagnicola
Nicotiana_sylvestris	Nicotiana_sylvestris
Nicotiana_tabacum	Nicotiana_tabacum
Nicotiana_tomentosiformis	Nicotiana_tomentosiformis
Nitzschia_sp.	Nitzschia
Nodosilinea_nodulosa_PCC_7104	Nodosilinea_nodulosa
Nodularia_spumigena	Nodularia_spumigena
Nostoc_punctiforme_PCC_73102	Nostoc_punctiforme
Nostoc_sp._PCC_7107	Nostoc_sp._PCC_7107
Nostoc_sp._PCC_7120	Nostoc_sp._PCC_7120
Ochromonas_sp._CCMP1393	Ochromonas_sp._CCMP1393
Ochromonas_sp._CCMP1899	Ochromonas_sp._CCMP1899
Odontella_aurita	Odontella_aurita
Oryza_brachyantha	Oryza_brachyantha
Oryza_sativa_Indica_Group	Oryza_sativa_Indica_Group
Oryza_sativa_Japonica_Group	Oryza_sativa_Japonica_Group
Oscillatoria_acuminata	Oscillatoria_acuminata
Oscillatoria_nigro-viridis_PCC_7112	Oscillatoria_nigro-viridis
Oscillatoria_sp._PCC_10802	Oscillatoria_sp._PCC_10802
Oscillatoriales_cyanobacterium_JSC-12	Oscillatoriales_cyanobacterium_JSC-12
Ostreococcus_lucimarinus_CCE9901	Ostreococcus_lucimarinus_CCE9901
Ostreococcus_tauri	Ostreococcus_tauri
Paulinella_chromatophora	Paulinella_chromatophora
Pavlova_gyrans	Pavlova_gyrans
Pavlova_lutheri	Pavlova_lutheri
Pelagococcus_subviridis	Pelagococcus_subviridis
Pelagomonas_calceolata	Pelagomonas_calceolata
Phaeocystis_antarctica	Phaeocystis_antarctica
Phaeocystis_sp._CCMP2710	Phaeocystis_sp._CCMP2710
Phaeodactylum_tricornutum_CCAP_1055	Phaeodactylum_tricornutum
Phaeomonas_parva	Phaeomonas_parva
Phaseolus_vulgaris	Phaseolus_vulgaris
Phoenix_dactylifera	Phoenix_dactylifera
Physcomitrella_patens	Physcomitrella_patens_subsp._patens
Picochlorum_oklahomense	Picochlorum_oklahomensis
Picocystis_salinarum	Picocystis_salinarum
Pinguiococcus_pyrenoidosus	Pinguiococcus_pyrenoidosus
Pinus_taeda	Pinus
Pisum_sativum	Pisum_sativum
Planktothrix_agardhii_NIVA-CYA_126	Planktothrix_agardhii_NIVA-CYA_126
Pleurocapsa_minor	Pleurocapsa_minor
Pleurocapsa_sp._PCC_7319	Pleurocapsa_sp._PCC_7319
Pleurochrysis_carterae	Pleurochrysis_carterae
Populus_euphratica	Populus_euphratica
Populus_trichocarpa	Populus_trichocarpa
Porphyridium_purpureum	Porphyridium_purpureum
Prasinoderma_singularis	Prasinoderma_singularis
Prochlorococcus_marinus_str._NATL1A	Prochlorococcus_marinus_str._NATL1A
Prochlorococcus_marinus_str._NATL2A	Prochlorococcus_marinus_str._NATL2A
Prochlorococcus_marinus_subsp._marinus_str._CCMP1375	Prochlorococcus_marinus_subsp._marinus_str._CCMP1375
Prochlorothrix_hollandica_PCC_9006	Prochlorothrix_hollandica
Proteomonas_sulcata	Proteomonas_sulcata
Protoceratium_reticulatum	Protoceratium_reticulatum
Prunus_mume	Prunus_mume
Prunus_persica	Prunus_persica
Prymnesium_parvum	Prymnesium_parvum
Pseudanabaena_biceps_PCC_7429	Pseudanabaena_biceps
Pseudanabaena_sp._PCC_6802	Pseudanabaena_sp._PCC_6802
Pseudanabaena_sp._PCC_7367	Pseudanabaena_sp._PCC_7367
Pseudo-nitzschia_arenysensis	Pseudo-nitzschia_arenysensis
Pseudo-nitzschia_australis	Pseudo-nitzschia_australis
Pseudo-nitzschia_delicatissima	Pseudo-nitzschia_delicatissima
Pseudo-nitzschia_multiseries	Pseudo-nitzschia_multiseries
Pseudopedinella_elastica	Pseudopedinella_elastica
Pycnococcus_provasolii	Pycnococcus_provasolii
Pyramimonas_obovata	Pyramimonas_obovata
Pyramimonas_parkeae	Pyramimonas_parkeae
Pyrus_x_bretschneideri	Pyrus_x_bretschneideri
Raphidiopsis_brookii_D9	Raphidiopsis_brookii_D9
Rhizochromulina_cf._marina	Rhizochromulina_cf._marina
Rhodomonas_abbreviata	Rhodomonas_abbreviata
Rhodomonas_lens	Rhodomonas_lens
Rhodomonas_salina	Rhodomonas_salina
Rhodomonas_sp._CCMP768	Rhodomonas_sp._CCMP768
Rhodosorus_marinus	Rhodosorus_marinus
Richelia_intracellularis	Richelia_intracellularis
Ricinus_communis	Ricinus_communis
Rivularia_sp._PCC_7116	Rivularia_sp._PCC_7116
Rubidibacter_lacunae_KORDI_51-2	Rubidibacter_lacunae
Sandarakinorhabdus_limnophila	Sandarakinorhabdus_limnophila
Sarcinochrysis_sp._CCMP770	Sarcinochrysis_sp._CCMP770
Scrippsiella_trochoidea	Scrippsiella_trochoidea
Scyphosphaera_apsteinii	Scyphosphaera_apsteinii
Scytonema_hofmanni_PCC_7110	Scytonema_hofmanni
Scytonema_millei_VB511283	Scytonema_millei
Scytonema_tolypothrichoides_VB-61278	Scytonema_tolypothrichoides
Selaginella_moellendorffii	Selaginella_moellendorffii
Sesamum_indicum	Sesamum_indicum
Setaria_italica	Setaria_italica
Skeletonema_costatum	Skeletonema_costatum
Skeletonema_marinoi	Skeletonema_marinoi
Solanum_lycopersicum	Solanum_lycopersicum
Solanum_tuberosum	Solanum_tuberosum
Sorghum_bicolor	Sorghum_bicolor
Spirulina_subsalsa	Spirulina_subsalsa
Stanieria_cyanosphaera	Stanieria_cyanosphaera
Stauroneis_constricta	Stauroneis_constricta
Striatella_unipunctata	Striatella_unipunctata
Sulfitobacter_guttiformis	Sulfitobacter_guttiformis
Symbiodinium_sp._Mp	Symbiodinium
Synechococcus_sp._CC9311	Synechococcus_sp._CC9311
Synechococcus_elongatus_PCC_6301	Synechococcus_elongatus_PCC_6301
Synechococcus_elongatus_PCC_7942	Synechococcus_elongatus_PCC_7942
Synechococcus_sp._CC9902	Synechococcus_sp._CC9902
Synechococcus_sp._WH_7803	Synechococcus_sp._WH_7803
Synechococcus_sp._WH_8102	Synechococcus_sp._WH_8102
Synechocystis_sp._PCC_6803	Synechocystis_sp._PCC_6803
Synechocystis_sp._PCC_7509	Synechocystis_sp._PCC_7509
Synedropsis_cf._recta	Synedropsis_cf._recta
Tarenaya_hassleriana	Tarenaya_hassleriana
Tetraselmis_astigmatica	Tetraselmis_astigmatica
Thalassiosira_pseudonana	Thalassiosira_pseudonana
Theobroma_cacao	Theobroma_cacao
Thermosynechococcus_elongatus_BP-1	Thermosynechococcus_elongatus_BP-1
Thermosynechococcus_sp._NK55a	Thermosynechococcus_sp._NK55a
Tolypothrix_bouteillei	Tolypothrix_bouteillei
Tolypothrix_campylonemoides_VB511288	Tolypothrix_campylonemoides
Tribonema_sp._UWCC-FW-135	Tribonema
Trichodesmium_erythraeum	Trichodesmium_erythraeum
Trichormus_azollae	Trichormus_azollae
Triticum_aestivum	Triticum_aestivum
Triticum_urartu	Triticum_urartu
Vigna_radiata	Vigna_radiata
Vitis_vinifera	Vitis_vinifera
Volvox_carteri_f._nagariensis	Volvox_carteri_f._nagariensis
Xenococcus_sp._PCC_7305	Xenococcus_sp._PCC_7305
Zea_mays	Zea_mays
